"avg_delivery_delay_days","avg_review_score"
"9.99","5.0"
"4.15","5.0"
"7.08","5.0"
"7.55","5.0"
"17.42","3.0"
"14.16","3.0"
"9.10","5.0"
"18.92","5.0"
"21.95","5.0"
"9.37","5.0"
"16.02","5.0"
"6.83","5.0"
"10.83","5.0"
"2.19","4.0"
"18.06","5.0"
"14.94","5.0"
"13.65","5.0"
"4.99","4.0"
"9.37","1.0"
"17.23","4.0"
"6.54","5.0"
"8.84","5.0"
"1.72","5.0"
"4.48","5.0"
"4.92","5.0"
"2.09","5.0"
"65.10","1.0"
"8.30","3.0"
"26.50","2.0"
"17.41","4.0"
"8.70","5.0"
"12.92","5.0"
"8.49","4.0"
"11.36","5.0"
"4.26","5.0"
"18.27","5.0"
"3.01","5.0"
"8.00","5.0"
"5.30","5.0"
"12.83","5.0"
"4.70","5.0"
"2.96","5.0"
"15.68","5.0"
"7.01","4.0"
"15.71","5.0"
"13.83","4.0"
"16.88","4.0"
"14.51","5.0"
"2.94","1.0"
"2.41","5.0"
"6.88","5.0"
"13.99","5.0"
"6.07","5.0"
"6.16","5.0"
"46.86","4.0"
"7.44","4.0"
"5.61","5.0"
"8.10","5.0"
"4.49","4.0"
"13.50","5.0"
"14.88","5.0"
"6.71","5.0"
"22.13","5.0"
"2.65","3.0"
"15.86","5.0"
"26.43","5.0"
"2.78","1.0"
"10.52","3.0"
"19.12","5.0"
"2.87","2.0"
"11.69","5.0"
"5.77","5.0"
"10.89","5.0"
"27.28","2.0"
"21.11","1.0"
"9.97","5.0"
"1.47","5.0"
"22.33","1.0"
"14.30","4.0"
"8.13","5.0"
"8.51","5.0"
"13.05","3.0"
"12.57","5.0"
"24.83","4.0"
"4.14","3.0"
"8.13","5.0"
"6.10","5.0"
"44.44","3.0"
"6.22","3.0"
"9.81","5.0"
"3.77","4.0"
"3.20","2.0"
"9.68","5.0"
"8.40","3.0"
"9.66","5.0"
"8.98","5.0"
"10.36","1.0"
"12.18","4.0"
"8.23","3.0"
"7.34","5.0"
"13.64","5.0"
"14.33","5.0"
"13.21","5.0"
"17.31","5.0"
"35.38","1.0"
"7.14","5.0"
"7.27","4.0"
"6.22","5.0"
"13.96","5.0"
"40.95","2.0"
"7.89","5.0"
"3.14","5.0"
"20.87","4.0"
"15.72","5.0"
"7.53","5.0"
"8.17","2.0"
"30.24","4.0"
"18.46","4.0"
"7.49","5.0"
"2.90","5.0"
"5.22","5.0"
"6.35","1.0"
"8.19","5.0"
"4.87","5.0"
"6.30","5.0"
"33.66","1.0"
"10.03","5.0"
"36.45","1.0"
"1.89","5.0"
"16.12","4.0"
"8.13","2.0"
"6.80","5.0"
