"freight_cost","avg_review_score"
"64.48","5.00"
"118.87","5.00"
"4.33","5.00"
"88.46","5.00"
"118.66","5.00"
"48.47","5.00"
"41.49","5.00"
"117.35","5.00"
"52.01","5.00"
"74.08","5.00"
"56.88","5.00"
"135.44","5.00"
"88.50","5.00"
"59.68","5.00"
"62.97","5.00"
"109.71","5.00"
"34.90","5.00"
"69.28","5.00"
"53.95","5.00"
"72.74","5.00"
"109.96","5.00"
"90.81","5.00"
"46.36","5.00"
"54.99","5.00"
"110.78","5.00"
"32.62","5.00"
"165.32","5.00"
"77.76","5.00"
"125.14","5.00"
"64.80","5.00"
"5.83","5.00"
"46.14","5.00"
"83.96","5.00"
"32.44","5.00"
"42.85","5.00"
"150.80","5.00"
"39.63","5.00"
"1.71","5.00"
"227.66","5.00"
"102.70","5.00"
"77.37","5.00"
"67.04","5.00"
"46.18","5.00"
"119.63","5.00"
"76.38","5.00"
"96.20","5.00"
"188.55","5.00"
"120.96","5.00"
"125.66","5.00"
"97.57","5.00"
"99.40","5.00"
"54.16","5.00"
"47.83","5.00"
"56.37","5.00"
"67.47","5.00"
"48.17","5.00"
"51.45","5.00"
"30.78","5.00"
"7.00","5.00"
"6.18","5.00"
"30.83","5.00"
"89.83","5.00"
"67.44","5.00"
"201.46","5.00"
"62.88","5.00"
"82.50","5.00"
"84.51","5.00"
"7.16","5.00"
"32.97","5.00"
"6.12","5.00"
"149.06","5.00"
"46.87","5.00"
"6.72","5.00"
"60.91","5.00"
"96.71","5.00"
"52.60","5.00"
"90.95","5.00"
"1.43","5.00"
"129.75","5.00"
"52.65","5.00"
"1.99","5.00"
"133.48","5.00"
"76.61","5.00"
"100.85","5.00"
"30.62","5.00"
"96.50","5.00"
"67.41","5.00"
"110.67","5.00"
"63.47","5.00"
"83.13","5.00"
"75.52","5.00"
"138.23","5.00"
"11.04","5.00"
"317.47","5.00"
"47.05","5.00"
"55.33","5.00"
"35.54","5.00"
"76.08","5.00"
"38.49","5.00"
"47.96","5.00"
"88.76","5.00"
"73.45","5.00"
"89.91","5.00"
"40.11","5.00"
"58.82","5.00"
"74.99","5.00"
"56.02","5.00"
"110.26","5.00"
"76.11","5.00"
"58.94","5.00"
"338.30","5.00"
"32.80","5.00"
"42.35","5.00"
"98.53","5.00"
"81.13","5.00"
"1.94","5.00"
"39.62","5.00"
"75.77","5.00"
"70.82","5.00"
"49.86","5.00"
"126.78","5.00"
"0.58","5.00"
"56.66","5.00"
"98.20","5.00"
"63.51","5.00"
"50.88","5.00"
"0.92","5.00"
"118.60","5.00"
"33.23","5.00"
"59.95","5.00"
"44.67","5.00"
"81.01","5.00"
"49.92","5.00"
"87.71","5.00"
"58.31","5.00"
"57.34","5.00"
"87.18","5.00"
"113.45","5.00"
"75.56","5.00"
"6.01","5.00"
"84.10","5.00"
"56.19","5.00"
"3.17","5.00"
"50.40","5.00"
"3.87","5.00"
"2.94","5.00"
"59.51","5.00"
"57.46","5.00"
"48.35","5.00"
"40.57","5.00"
"55.35","5.00"
"56.79","5.00"
"56.95","5.00"
"56.56","5.00"
"306.06","5.00"
"76.92","5.00"
"1.89","5.00"
"54.24","5.00"
"227.57","5.00"
"97.95","5.00"
"59.24","5.00"
"49.17","5.00"
"4.22","5.00"
"89.10","5.00"
"1.01","5.00"
"59.45","5.00"
"93.16","5.00"
"51.88","5.00"
"38.35","5.00"
"43.70","5.00"
"53.96","5.00"
"206.45","5.00"
"51.24","5.00"
"105.44","5.00"
"84.41","5.00"
"72.89","5.00"
"63.54","5.00"
"81.61","5.00"
"40.49","5.00"
"37.15","5.00"
"86.23","5.00"
"3.42","5.00"
"234.78","5.00"
"83.72","5.00"
"38.33","5.00"
"85.02","5.00"
"98.32","5.00"
"40.36","5.00"
"91.19","5.00"
"41.17","5.00"
"62.24","5.00"
"72.09","5.00"
"2.88","5.00"
"115.53","5.00"
"92.84","5.00"
"53.84","5.00"
"60.01","5.00"
"3.43","5.00"
"56.58","5.00"
"71.17","5.00"
"31.39","5.00"
"61.27","5.00"
"166.91","5.00"
"68.69","5.00"
"33.18","5.00"
"143.47","5.00"
"138.91","5.00"
"2.09","5.00"
"47.66","5.00"
"68.37","5.00"
"54.13","5.00"
"64.49","5.00"
"6.88","5.00"
"51.46","5.00"
"103.37","5.00"
"89.43","5.00"
"51.30","5.00"
"45.51","5.00"
"62.53","5.00"
"89.39","5.00"
"54.53","5.00"
"119.35","5.00"
"46.61","5.00"
"85.59","5.00"
"47.27","5.00"
"48.39","5.00"
"84.52","5.00"
"31.92","5.00"
"28.26","5.00"
"171.50","5.00"
"122.44","5.00"
"256.13","5.00"
"63.43","5.00"
"79.55","5.00"
"28.84","5.00"
"70.92","5.00"
"69.01","5.00"
"258.28","5.00"
"55.87","5.00"
"41.58","5.00"
"93.65","5.00"
"92.24","5.00"
"50.65","5.00"
"7.99","5.00"
"39.94","5.00"
"77.08","5.00"
"47.55","5.00"
"64.15","5.00"
"178.33","5.00"
"75.50","5.00"
"96.18","5.00"
"33.40","5.00"
"45.20","5.00"
"133.15","5.00"
"50.76","5.00"
"87.41","5.00"
"31.30","5.00"
"39.87","5.00"
"61.19","5.00"
"57.18","5.00"
"53.44","5.00"
"44.21","5.00"
"148.71","5.00"
"62.00","5.00"
"42.27","5.00"
"55.01","5.00"
"40.47","5.00"
"108.92","5.00"
"43.72","5.00"
"92.59","5.00"
"154.56","5.00"
"81.39","5.00"
"33.58","5.00"
"102.57","5.00"
"53.57","5.00"
"92.88","5.00"
"33.01","5.00"
"45.91","5.00"
"57.66","5.00"
"49.18","5.00"
"44.58","5.00"
"299.16","5.00"
"88.70","5.00"
"92.34","5.00"
"61.49","5.00"
"57.27","5.00"
"10.72","5.00"
"27.93","5.00"
"98.40","5.00"
"58.04","5.00"
"52.97","5.00"
"42.66","5.00"
"77.19","5.00"
"36.58","5.00"
"55.65","5.00"
"10.73","5.00"
"114.90","5.00"
"0.82","5.00"
"57.81","5.00"
"70.11","5.00"
"70.27","5.00"
"118.73","5.00"
"36.95","5.00"
"40.86","5.00"
"55.45","5.00"
"2.38","5.00"
"186.38","5.00"
"126.38","5.00"
